A股代码,B股代码,证券简称,扩位证券简称,上市日期
600773,-,西藏城投,西藏城投,19961108
600774,-,汉商集团,汉商集团,19961108
600775,-,南京熊猫,南京熊猫,19961118
600776,900941,东方通信,东方通信,19961126
600777,-,新潮能源,新潮能源,19961121
600778,-,友好集团,友好集团,19961203
600779,-,水井坊,水井坊,19961206
600780,-,通宝能源,通宝能源,19961205
600781,-,*ST辅仁,*ST辅仁,19961218
600782,-,新钢股份,新钢股份,19961225
600783,-,鲁信创投,鲁信创投,19961225
600784,-,鲁银投资,鲁银投资,19961225
600785,-,新华百货,新华百货,19970108
600787,-,中储股份,中储股份,19970121
600789,-,鲁抗医药,鲁抗医药,19970226
600790,-,轻纺城,轻纺城,19970228
600791,-,京能置业,京能置业,19970130
600792,-,云煤能源,云煤能源,19970123
600793,-,宜宾纸业,宜宾纸业,19970220
600794,-,保税科技,保税科技,19970306
600795,-,国电电力,国电电力,19970318
600796,-,钱江生化,钱江生化,19970408
600797,-,浙大网新,浙大网新,19970418
600798,-,宁波海运,宁波海运,19970423
600800,-,渤海化学,渤海化学,19931206
600801,-,华新水泥,华新水泥,19940103
600802,-,福建水泥,福建水泥,19940103
600803,-,新奥股份,新奥股份,19940103
600804,-,ST鹏博士,ST鹏博士,19940103
600805,-,悦达投资,悦达投资,19940103
600807,-,济南高新,济南高新,19940103
600808,-,马钢股份,马钢股份,19940106
600809,-,山西汾酒,山西汾酒,19940106
600810,-,神马股份,神马股份,19940106
600811,-,东方集团,东方集团,19940106
600812,-,华北制药,华北制药,19940114
600814,-,杭州解百,杭州解百,19940114
600815,-,厦工股份,厦工股份,19940128
600816,-,ST安信,ST安信,19940128
600817,-,宇通重工,宇通重工,19940128
600818,900915,中路股份,中路股份,19940128
600819,900918,耀皮玻璃,耀皮玻璃,19940128
600820,-,隧道股份,隧道股份,19940128
600821,-,金开新能,金开新能,19940128
600822,900927,上海物贸,上海物贸,19940204
